"© Statistisches Landesamt Baden-Württemberg";"Böblinger Straße 68";"70199 Stuttgart";"Telefon:";"+49 711 641-2833";"Telefax:";"+49 711 641-2440";"https://www.statistik-bw.de/";;;;
"Landesinformationssystem (LIS)";"Abruf aus der Struktur- und Regionaldatenbank (SRDB)";;;;

"BIBER-Nr.:";"01515020";;;;
"Web-Abruf der Tabellen:";"R= Kürzel der Regionaleinheit (Spalte 1) und AGS (Spalte 2) ohne »08«.";;;;
"Bsp. Regierungsbezirk Stuttgart:";"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=RB1";;;;
"Bsp. Aidlingen:";"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=GS115001";;;;

"Titel:";"Bevölkerung, Gemeindegebiet und Bevölkerungsdichte";;;;

"Stichtag:";"31.12.2015";"31.12.2016";"31.12.2017";"31.12.2018";
"Erstellungsdatum:";"20.10.2016";"09.01.2018";"Stand 29.03.2019";"Stand 22.07.2019";

"https://www.statistik-bw.de/BevoelkGebiet/GebietFlaeche/01515020.tab?R=";;;;

"Bevölkerung:";"Ergebnisse der Bevölkerungsfortschreibung auf Basis Zensus 2011. Bei Städten und Gemeinden mit Landeserstaufnahmeeinrichtung für Flüchtlinge (LEA) kann es durch die hohe Zahl an Zu- und Fortzügen zu verfahrensbedingten Schwankungen in der amtlichen Bevölkerungsfortschreibung und der Ermittlung der amtlichen Einwohnerzahl kommen.";;;;
"Gemeindegebiet:";"Ohne die Flächen der gemeindefreien Gebiete Rheinau (Ortenaukreis) und Gutsbezirk Münsingen (Landkreis Reutlingen). Zum Berichtsjahr 2016 wurde die Flächenerhebung bundesweit auf die neue ALKIS-Nomenklatur umgestellt."
"Postleitzahl:";"Für jene Städte und Gemeinden, die über mehr als eine Postleitzahl verfügen, wurde diejenige übernommen, die dem Sitz (Hausanschrift) der Stadt-/Gemeindeverwaltung entspricht.";;;;

"Kürzel der Regionaleinheit";"Amtlicher Gemeindeschlüssel (AGS)";"Postleitzahl";"Regionalname";"Stichtag";"Bevölkerung insgesamt";"Gemeindegebiet ha";"Bevölkerungsdichte EW/km²"
"GS";"08336073";"79595";"Rümmingen";"31.12.2015";1762;446;395
"GS";"08336075";"79597";"Schallbach";"31.12.2015";768;395;194
"GS";"08336078";"79418";"Schliengen";"31.12.2015";5448;3746;145
"GS";"08336079";"79677";"Schönau im Schwarzwald, Stadt";"31.12.2015";2405;1470;164
"GS";"08336080";"79677";"Schönenberg";"31.12.2015";352;743;47
"GS";"08336081";"79650";"Schopfheim, Stadt";"31.12.2015";19498;6798;287
"GS";"08336082";"79739";"Schwörstadt";"31.12.2015";2399;2008;119
"GS";"08336084";"79585";"Steinen";"31.12.2015";9900;4686;211
"GS";"08336087";"79674";"Todtnau, Stadt";"31.12.2015";4904;6959;70
"GS";"08336089";"79677";"Tunau";"31.12.2015";182;405;45
"GS";"08336090";"79694";"Utzenfeld";"31.12.2015";626;740;85
"GS";"08336091";"79576";"Weil am Rhein, Stadt";"31.12.2015";30030;1947;1543
"GS";"08336094";"79677";"Wembach";"31.12.2015";339;180;188
"GS";"08336096";"79695";"Wieden";"31.12.2015";585;1225;48
"GS";"08336100";"79599";"Wittlingen";"31.12.2015";978;450;217
"GS";"08336103";"79669";"Zell im Wiesental, Stadt";"31.12.2015";6208;3613;172
"GS";"08336104";"79429";"Malsburg-Marzell";"31.12.2015";1455;2492;58
"GS";"08336105";"79639";"Grenzach-Wyhlen";"31.12.2015";14171;1732;818
"GS";"08336106";"79685";"Häg-Ehrsberg";"31.12.2015";864;2504;35
"GS";"08336107";"79692";"Kleines Wiesental";"31.12.2015";2932;7784;38
"GS";"08337002";"79774";"Albbruck";"31.12.2015";7296;3969;184
"GS";"08337013";"79872";"Bernau im Schwarzwald";"31.12.2015";1976;3804;52
"GS";"08337022";"79848";"Bonndorf im Schwarzwald, Stadt";"31.12.2015";6836;7593;90
"GS";"08337027";"79875";"Dachsberg (Südschwarzwald)";"31.12.2015";1333;3560;37
"GS";"08337030";"79802";"Dettighofen";"31.12.2015";1113;1439;77
"GS";"08337032";"79804";"Dogern";"31.12.2015";2369;745;318
"GS";"08337038";"79733";"Görwihl";"31.12.2015";4275;5042;85
"GS";"08337039";"79865";"Grafenhausen";"31.12.2015";2246;4855;46
"GS";"08337045";"79837";"Häusern";"31.12.2015";1308;888;147
"GS";"08337049";"79737";"Herrischried";"31.12.2015";2777;3750;74
"GS";"08337051";"79862";"Höchenschwand";"31.12.2015";2548;2955;86
"GS";"08337053";"79801";"Hohentengen am Hochrhein";"31.12.2015";3720;2756;135
"GS";"08337059";"79837";"Ibach";"31.12.2015";363;2139;17
"GS";"08337060";"79798";"Jestetten";"31.12.2015";5130;2062;249
"GS";"08337062";"79771";"Klettgau";"31.12.2015";7414;4587;162
"GS";"08337065";"79787";"Lauchringen";"31.12.2015";7630;1276;598
"GS";"08337066";"79725";"Laufenburg (Baden), Stadt";"31.12.2015";8856;2358;376
"GS";"08337070";"79807";"Lottstetten";"31.12.2015";2254;1339;168
"GS";"08337076";"79730";"Murg";"31.12.2015";6917;2090;331
"GS";"08337090";"79736";"Rickenbach";"31.12.2015";3987;3465;115
"GS";"08337096";"79713";"Bad Säckingen, Stadt";"31.12.2015";17036;2534;672
"GS";"08337097";"79837";"St. Blasien, Stadt";"31.12.2015";4016;5436;74
"GS";"08337106";"79780";"Stühlingen, Stadt";"31.12.2015";5063;9322;54
"GS";"08337108";"79682";"Todtmoos";"31.12.2015";1910;2809;68
"GS";"08337116";"79664";"Wehr, Stadt";"31.12.2015";12718;3568;356
"GS";"08337118";"79809";"Weilheim";"31.12.2015";3110;3564;87
"GS";"08337123";"79793";"Wutöschingen";"31.12.2015";6598;2647;249
"GS";"08337124";"79805";"Eggingen";"31.12.2015";1693;1395;121
"GS";"08337125";"79790";"Küssaberg";"31.12.2015";5321;2616;203
"GS";"08337126";"79761";"Waldshut-Tiengen, Stadt";"31.12.2015";23674;7798;304
"GS";"08337127";"79879";"Wutach";"31.12.2015";1193;3048;39
"GS";"08337128";"79777";"Ühlingen-Birkendorf";"31.12.2015";5181;7707;67
"GS";"08415014";"72581";"Dettingen an der Erms";"31.12.2015";9477;1581;599
"GS";"08415019";"72800";"Eningen unter Achalm";"31.12.2015";10951;2316;473
"GS";"08415027";"72532";"Gomadingen";"31.12.2015";2288;4585;50
"GS";"08415028";"72582";"Grabenstetten";"31.12.2015";1667;1453;115
"GS";"08415029";"72661";"Grafenberg";"31.12.2015";2604;351;742
"GS";"08415034";"72534";"Hayingen, Stadt";"31.12.2015";2206;6337;35
"GS";"08415039";"72584";"Hülben";"31.12.2015";2863;640;447
"GS";"08415048";"72537";"Mehrstetten";"31.12.2015";1340;1710;78
"GS";"08415050";"72555";"Metzingen, Stadt";"31.12.2015";21612;3458;625
"GS";"08415053";"72525";"Münsingen, Stadt";"31.12.2015";14399;11699;123
"GS";"08415058";"72539";"Pfronstetten";"31.12.2015";1485;5406;27
"GS";"08415059";"72793";"Pfullingen, Stadt";"31.12.2015";18112;3013;601
"GS";"08415060";"72124";"Pliezhausen";"31.12.2015";9411;1731;544
"GS";"08415061";"72764";"Reutlingen, Stadt";"31.12.2015";114310;8706;1313
"GS";"08415062";"72585";"Riederich";"31.12.2015";4376;464;943
"GS";"08415073";"72818";"Trochtelfingen, Stadt";"31.12.2015";6371;7922;80
"GS";"08415078";"72574";"Bad Urach, Stadt";"31.12.2015";12143;5545;219
"GS";"08415080";"72827";"Wannweil";"31.12.2015";5226;534;979
"GS";"08415085";"88529";"Zwiefalten";"31.12.2015";2187;4543;48
"GS";"08415087";"72141";"Walddorfhäslach";"31.12.2015";4975;1444;345
"GS";"08415088";"72587";"Römerstein";"31.12.2015";3984;4604;87
"GS";"08415089";"72829";"Engstingen";"31.12.2015";5213;3151;165
"GS";"08415090";"72531";"Hohenstein";"31.12.2015";3646;6171;59
"GS";"08415091";"72820";"Sonnenbühl";"31.12.2015";7067;6126;115
"GS";"08415092";"72805";"Lichtenstein";"31.12.2015";9166;3424;268
"GS";"08415093";"72813";"St. Johann";"31.12.2015";5034;5897;85
"GS";"08416006";"72411";"Bodelshausen";"31.12.2015";5767;1382;417
"GS";"08416009";"72135";"Dettenhausen";"31.12.2015";5518;1102;501
"GS";"08416011";"72144";"Dußlingen";"31.12.2015";5819;1306;446
"GS";"08416015";"72810";"Gomaringen";"31.12.2015";8833;1731;510
"GS";"08416018";"72145";"Hirrlingen";"31.12.2015";3045;1282;238
"GS";"08416022";"72138";"Kirchentellinsfurt";"31.12.2015";5608;1100;510
"GS";"08416023";"72127";"Kusterdingen";"31.12.2015";8471;2424;349
"GS";"08416025";"72116";"Mössingen, Stadt";"31.12.2015";19874;5005;397
"GS";"08416026";"72147";"Nehren";"31.12.2015";4244;859;494
"GS";"08416031";"72131";"Ofterdingen";"31.12.2015";4838;1515;319
"GS";"08416036";"72108";"Rottenburg am Neckar, Stadt";"31.12.2015";43278;14227;304
"GS";"08416041";"72070";"Tübingen, Universitätsstadt";"31.12.2015";87464;10812;809
"GS";"08416048";"72119";"Ammerbuch";"31.12.2015";11264;4806;234
"GS";"08416049";"72149";"Neustetten";"31.12.2015";3539;1587;223
"GS";"08416050";"72181";"Starzach";"31.12.2015";4275;2782;154
"GS";"08417002";"72336";"Balingen, Stadt";"31.12.2015";33640;9034;372
"GS";"08417008";"72406";"Bisingen";"31.12.2015";9304;3284;283
"GS";"08417010";"72475";"Bitz";"31.12.2015";3624;882;411
"GS";"08417013";"72393";"Burladingen, Stadt";"31.12.2015";12157;12333;99
"GS";"08417014";"72356";"Dautmergen";"31.12.2015";400;454;88
"GS";"08417015";"72358";"Dormettingen";"31.12.2015";1069;655;163
"GS";"08417016";"72359";"Dotternhausen";"31.12.2015";1835;1000;183
"GS";"08417022";"72351";"Geislingen, Stadt";"31.12.2015";5910;3195;185
"GS";"08417023";"72415";"Grosselfingen";"31.12.2015";2161;1615;134
"GS";"08417025";"72401";"Haigerloch, Stadt";"31.12.2015";10488;7645;137
"GS";"08417029";"72361";"Hausen am Tann";"31.12.2015";480;849;57
"GS";"08417031";"72379";"Hechingen, Stadt";"31.12.2015";18971;6644;286
"GS";"08417036";"72417";"Jungingen";"31.12.2015";1349;933;145
"GS";"08417044";"72469";"Meßstetten, Stadt";"31.12.2015";12665;7682;165
"GS";"08417045";"72362";"Nusplingen";"31.12.2015";1750;2075;84
"GS";"08417047";"72364";"Obernheim";"31.12.2015";1413;1502;94
"GS";"08417051";"72414";"Rangendingen";"31.12.2015";5168;2167;238
"GS";"08417052";"72365";"Ratshausen";"31.12.2015";758;577;131
"GS";"08417054";"72348";"Rosenfeld, Stadt";"31.12.2015";6433;5111;126
"GS";"08417057";"72355";"Schömberg, Stadt";"31.12.2015";4647;2327;200
"GS";"08417063";"72479";"Straßberg";"31.12.2015";2478;2490;100
"GS";"08417071";"72367";"Weilen unter den Rinnen";"31.12.2015";603;308;196
"GS";"08417075";"72474";"Winterlingen";"31.12.2015";6386;5064;126
"GS";"08417078";"72369";"Zimmern unter der Burg";"31.12.2015";475;505;94
"GS";"08417079";"72458";"Albstadt, Stadt";"31.12.2015";44431;13441;331
"GS";"08421000";"89073";"Ulm, Universitätsstadt";"31.12.2015";122636;11869;1033
"GS";"08425002";"89604";"Allmendingen";"31.12.2015";4390;4591;96
"GS";"08425004";"89605";"Altheim";"31.12.2015";599;779;77
"GS";"08425005";"89174";"Altheim (Alb)";"31.12.2015";1709;2578;66
"GS";"08425008";"73340";"Amstetten";"31.12.2015";3978;4980;80
"GS";"08425011";"89176";"Asselfingen";"31.12.2015";1004;1285;78
"GS";"08425013";"89177";"Ballendorf";"31.12.2015";671;1421;47
"GS";"08425014";"89179";"Beimerstetten";"31.12.2015";2616;1434;182
"GS";"08425017";"89180";"Berghülen";"31.12.2015";1900;2613;73
"GS";"08425019";"89182";"Bernstadt";"31.12.2015";2153;1395;154
"GS";"08425020";"89143";"Blaubeuren, Stadt";"31.12.2015";12087;7915;153
"GS";"08425022";"89177";"Börslingen";"31.12.2015";171;629;27
"GS";"08425024";"89183";"Breitingen";"31.12.2015";292;289;101
"GS";"08425028";"89165";"Dietenheim, Stadt";"31.12.2015";6703;1876;357
"GS";"08425031";"89160";"Dornstadt";"31.12.2015";8996;5924;152
"GS";"08425033";"89584";"Ehingen (Donau), Stadt";"31.12.2015";25503;17837;143
"GS";"08425035";"88499";"Emeringen";"31.12.2015";128;753;17
"GS";"08425036";"89607";"Emerkingen";"31.12.2015";822;740;111
"GS";"08425039";"89155";"Erbach, Stadt";"31.12.2015";13387;6329;212
"GS";"08425050";"89608";"Griesingen";"31.12.2015";1021;816;125
"GS";"08425052";"89613";"Grundsheim";"31.12.2015";218;370;59
"GS";"08425055";"89597";"Hausen am Bussen";"31.12.2015";252;352;72
"GS";"08425062";"89183";"Holzkirch";"31.12.2015";260;814;32
"GS";"08425064";"89185";"Hüttisheim";"31.12.2015";1396;1036;135
"GS";"08425066";"89186";"Illerrieden";"31.12.2015";3309;1817;182
"GS";"08425071";"89150";"Laichingen, Stadt";"31.12.2015";11175;6984;160
"GS";"08425072";"89129";"Langenau, Stadt";"31.12.2015";14771;7500;197
"GS";"08425073";"89584";"Lauterach";"31.12.2015";609;1378;44
"GS";"08425075";"89173";"Lonsee";"31.12.2015";4894;4332;113
"GS";"08425079";"89188";"Merklingen";"31.12.2015";1954;2131;92
"GS";"08425081";"89597";"Munderkingen, Stadt";"31.12.2015";5119;1308;391
"GS";"08425083";"89189";"Neenstetten";"31.12.2015";826;830;100
"GS";"08425084";"89191";"Nellingen";"31.12.2015";1933;3578;54
"GS";"08425085";"89129";"Nerenstetten";"31.12.2015";329;609;54
"GS";"08425088";"89610";"Oberdischingen";"31.12.2015";2048;884;232
"GS";"08425090";"89611";"Obermarchtal";"31.12.2015";1291;2659;49
"GS";"08425091";"89613";"Oberstadion";"31.12.2015";1576;1580;100
"GS";"08425092";"89129";"Öllingen";"31.12.2015";527;809;65
"GS";"08425093";"89614";"Öpfingen";"31.12.2015";2306;888;260
"GS";"08425097";"89192";"Rammingen";"31.12.2015";1272;1403;91
"GS";"08425098";"89611";"Rechtenstein";"31.12.2015";294;377;78
"GS";"08425104";"89616";"Rottenacker";"31.12.2015";2143;1029;208
"GS";"08425108";"89601";"Schelklingen, Stadt";"31.12.2015";6783;7580;89
"GS";"08425110";"89194";"Schnürpflingen";"31.12.2015";1343;1071;125
"GS";"08425112";"89129";"Setzingen";"31.12.2015";653;842;78
"GS";"08425123";"89617";"Untermarchtal";"31.12.2015";879;561;157
"GS";"08425124";"89619";"Unterstadion";"31.12.2015";758;884;86
"GS";"08425125";"89597";"Unterwachingen";"31.12.2015";205;260;79
"GS";"08425130";"89197";"Weidenstetten";"31.12.2015";1345;1721;78
"GS";"08425134";"72589";"Westerheim";"31.12.2015";2936;2293;128
"GS";"08425135";"89198";"Westerstetten";"31.12.2015";2167;1309;166
"GS";"08425137";"89171";"Illerkirchberg";"31.12.2015";4785;1145;418
"GS";"08425138";"89195";"Staig";"31.12.2015";3159;1774;178
"GS";"08425139";"72535";"Heroldstatt";"31.12.2015";2790;2258;124
"GS";"08425140";"88481";"Balzheim";"31.12.2015";2026;1758;115
"GS";"08425141";"89134";"Blaustein, Stadt";"31.12.2015";15643;5560;281
"GS";"08426001";"88480";"Achstetten";"31.12.2015";4501;2338;192
"GS";"08426005";"88422";"Alleshausen";"31.12.2015";498;1131;44
"GS";"08426006";"88348";"Allmannsweiler";"31.12.2015";301;410;73
"GS";"08426008";"88499";"Altheim";"31.12.2015";2147;2374;90
"GS";"08426011";"88448";"Attenweiler";"31.12.2015";1906;2720;70
"GS";"08426013";"88422";"Bad Buchau, Stadt";"31.12.2015";4033;2377;170
"GS";"08426014";"88427";"Bad Schussenried, Stadt";"31.12.2015";8537;5501;155
"GS";"08426019";"88450";"Berkheim";"31.12.2015";2735;2502;109
"GS";"08426020";"88422";"Betzenweiler";"31.12.2015";742;970;77
"GS";"08426021";"88400";"Biberach an der Riß, Stadt";"31.12.2015";32233;7216;447
"GS";"08426028";"88483";"Burgrieden";"31.12.2015";3740;2187;171
"GS";"08426031";"88451";"Dettingen an der Iller";"31.12.2015";2357;1114;212
"GS";"08426035";"88525";"Dürmentingen";"31.12.2015";2619;2409;109
"GS";"08426036";"88422";"Dürnau";"31.12.2015";416;726;57
"GS";"08426038";"88436";"Eberhardzell";"31.12.2015";4402;5972;74
"GS";"08426043";"88416";"Erlenmoos";"31.12.2015";1727;2426;71
"GS";"08426044";"88453";"Erolzheim";"31.12.2015";3287;2631;125
"GS";"08426045";"88521";"Ertingen";"31.12.2015";5361;3774;142
"GS";"08426058";"88454";"Hochdorf";"31.12.2015";2237;2376;94
"GS";"08426062";"88456";"Ingoldingen";"31.12.2015";2814;4424;64
"GS";"08426064";"88422";"Kanzach";"31.12.2015";495;1120;44
"GS";"08426065";"88486";"Kirchberg an der Iller";"31.12.2015";2000;1864;107
"GS";"08426066";"88457";"Kirchdorf an der Iller";"31.12.2015";3516;2286;154
"GS";"08426067";"88515";"Langenenslingen";"31.12.2015";3464;8837;39
"GS";"08426070";"88471";"Laupheim, Stadt";"31.12.2015";21153;6178;342
"GS";"08426071";"88437";"Maselheim";"31.12.2015";4482;4702;95
"GS";"08426073";"88487";"Mietingen";"31.12.2015";4269;2634;162
"GS";"08426074";"88441";"Mittelbiberach";"31.12.2015";4330;2368;183
"GS";"08426078";"88422";"Moosburg";"31.12.2015";217;186;117
"GS";"08426087";"88416";"Ochsenhausen, Stadt";"31.12.2015";8812;5996;147
"GS";"08426090";"88422";"Oggelshausen";"31.12.2015";921;1312;70
"GS";"08426097";"88499";"Riedlingen, Stadt";"31.12.2015";10451;6496;161
"GS";"08426100";"88430";"Rot an der Rot";"31.12.2015";4467;6344;70
"GS";"08426108";"88477";"Schwendi";"31.12.2015";6520;4923;132
"GS";"08426109";"88422";"Seekirch";"31.12.2015";295;577;51
"GS";"08426113";"88416";"Steinhausen an der Rottum";"31.12.2015";2003;2988;67
"GS";"08426117";"88459";"Tannheim";"31.12.2015";2442;2768;88
"GS";"08426118";"88422";"Tiefenbach";"31.12.2015";515;695;74
"GS";"08426120";"88444";"Ummendorf";"31.12.2015";4403;2065;213
"GS";"08426121";"88527";"Unlingen";"31.12.2015";2409;2687;90
"GS";"08426124";"88524";"Uttenweiler";"31.12.2015";3489;4977;70
"GS";"08426125";"88489";"Wain";"31.12.2015";1612;2014;80
"GS";"08426128";"88447";"Warthausen";"31.12.2015";5242;2575;204
"GS";"08426134";"88433";"Schemmerhofen";"31.12.2015";8082;5018;161
"GS";"08426135";"88484";"Gutenzell-Hürbel";"31.12.2015";1837;3786;49
"GS";"08435005";"88697";"Bermatingen";"31.12.2015";3987;1545;258
"GS";"08435010";"88718";"Daisendorf";"31.12.2015";1560;244;639
"GS";"08435013";"88097";"Eriskirch";"31.12.2015";4925;1458;338
"GS";"08435015";"88699";"Frickingen";"31.12.2015";2915;2646;110
"GS";"08435016";"88045";"Friedrichshafen, Stadt";"31.12.2015";59108;6994;845
"GS";"08435018";"88709";"Hagnau am Bodensee";"31.12.2015";1421;294;483
"GS";"08435020";"88633";"Heiligenberg";"31.12.2015";3011;4077;74
"GS";"08435024";"88090";"Immenstaad am Bodensee";"31.12.2015";6440;926;695
"GS";"08435029";"88079";"Kressbronn am Bodensee";"31.12.2015";8538;2043;418
"GS";"08435030";"88085";"Langenargen";"31.12.2015";7863;1527;515
"GS";"08435034";"88677";"Markdorf, Stadt";"31.12.2015";13714;4091;335
"GS";"08435035";"88074";"Meckenbeuren";"31.12.2015";13252;3189;416
"GS";"08435036";"88709";"Meersburg, Stadt";"31.12.2015";5776;1208;478
"GS";"08435042";"88099";"Neukirch";"31.12.2015";2681;2658;101
"GS";"08435045";"88094";"Oberteuringen";"31.12.2015";4704;2007;234
"GS";"08435047";"88696";"Owingen";"31.12.2015";4246;3673;116
"GS";"08435052";"88682";"Salem";"31.12.2015";11265;6270;180
"GS";"08435053";"78354";"Sipplingen";"31.12.2015";2099;428;491
"GS";"08435054";"88719";"Stetten";"31.12.2015";1036;430;241
"GS";"08435057";"88069";"Tettnang, Stadt";"31.12.2015";18975;7122;266
"GS";"08435059";"88662";"Überlingen, Stadt";"31.12.2015";22408;5867;382
"GS";"08435066";"88690";"Uhldingen-Mühlhofen";"31.12.2015";8068;1566;515
"GS";"08435067";"88693";"Deggenhausertal";"31.12.2015";4209;6218;68
"GS";"08436001";"88147";"Achberg";"31.12.2015";1680;1292;130
"GS";"08436003";"88317";"Aichstetten";"31.12.2015";2716;3375;80
"GS";"08436004";"88319";"Aitrach";"31.12.2015";2544;3020;84
"GS";"08436005";"88361";"Altshausen";"31.12.2015";4095;2048;200
"GS";"08436006";"88279";"Amtzell";"31.12.2015";4155;3057;136
"GS";"08436008";"88326";"Aulendorf, Stadt";"31.12.2015";9988;5234;191
"GS";"08436009";"88339";"Bad Waldsee, Stadt";"31.12.2015";20011;10854;184
"GS";"08436010";"88410";"Bad Wurzach, Stadt";"31.12.2015";14505;18226;80
"GS";"08436011";"88255";"Baienfurt";"31.12.2015";7138;1601;446
"GS";"08436012";"88255";"Baindt";"31.12.2015";5088;2306;221
"GS";"08436013";"88276";"Berg";"31.12.2015";4159;2841;146
"GS";"08436014";"88368";"Bergatreute";"31.12.2015";3108;2316;134
"GS";"08436018";"88285";"Bodnegg";"31.12.2015";3122;2456;127
"GS";"08436019";"88361";"Boms";"31.12.2015";627;956;66
"GS";"08436024";"88370";"Ebenweiler";"31.12.2015";1197;1013;118
"GS";"08436027";"88361";"Eichstegen";"31.12.2015";491;1425;34
"GS";"08436032";"88373";"Fleischwangen";"31.12.2015";674;580;116
"GS";"08436039";"88287";"Grünkraut";"31.12.2015";3100;1716;181
"GS";"08436040";"88379";"Guggenhausen";"31.12.2015";179;825;22
"GS";"08436047";"88374";"Hoßkirch";"31.12.2015";743;1581;47
"GS";"08436049";"88316";"Isny im Allgäu, Stadt";"31.12.2015";13602;8537;159
"GS";"08436052";"88353";"Kißlegg";"31.12.2015";9015;9240;98
"GS";"08436053";"88376";"Königseggwald";"31.12.2015";665;685;97
"GS";"08436055";"88299";"Leutkirch im Allgäu, Stadt";"31.12.2015";22406;17496;128
"GS";"08436064";"88212";"Ravensburg, Stadt";"31.12.2015";49830;9205;541
"GS";"08436067";"88377";"Riedhausen";"31.12.2015";638;842;76
"GS";"08436069";"88281";"Schlier";"31.12.2015";3846;3258;118
"GS";"08436077";"88379";"Unterwaldhausen";"31.12.2015";277;411;67
"GS";"08436078";"88267";"Vogt";"31.12.2015";4495;2231;201
"GS";"08436079";"88289";"Waldburg";"31.12.2015";3182;2270;140
"GS";"08436081";"88239";"Wangen im Allgäu, Stadt";"31.12.2015";27093;10129;267
"GS";"08436082";"88250";"Weingarten, Stadt";"31.12.2015";24460;1217;2011
"GS";"08436083";"88271";"Wilhelmsdorf";"31.12.2015";4938;3810;130
"GS";"08436085";"88364";"Wolfegg";"31.12.2015";3694;3949;94
"GS";"08436087";"88284";"Wolpertswende";"31.12.2015";4065;2637;154
"GS";"08436093";"88371";"Ebersbach-Musbach";"31.12.2015";1703;2686;63
"GS";"08436094";"88260";"Argenbühl";"31.12.2015";6240;7637;82
"GS";"08436095";"88263";"Horgenzell";"31.12.2015";5202;5616;93
"GS";"08436096";"88273";"Fronreute";"31.12.2015";4625;4609;100
"GS";"08437005";"88631";"Beuron";"31.12.2015";664;3511;19
"GS";"08437008";"72511";"Bingen";"31.12.2015";2713;3701;73
"GS";"08437031";"72501";"Gammertingen, Stadt";"31.12.2015";6341;5297;120
"GS";"08437044";"88518";"Herbertingen";"31.12.2015";4796;3867;124
"GS";"08437047";"72513";"Hettingen, Stadt";"31.12.2015";1796;4606;39
"GS";"08437053";"88367";"Hohentengen";"31.12.2015";4131;3657;113
"GS";"08437056";"88636";"Illmensee";"31.12.2015";1973;2492;79
"GS";"08437059";"72514";"Inzigkofen";"31.12.2015";2746;2875;96
"GS";"08437065";"72505";"Krauchenwies";"31.12.2015";4962;4466;111
"GS";"08437072";"88637";"Leibertingen";"31.12.2015";2087;4721;44
"GS";"08437076";"88512";"Mengen, Stadt";"31.12.2015";9869;4980;198
"GS";"08437078";"88605";"Meßkirch, Stadt";"31.12.2015";8302;7624;109
"GS";"08437082";"72419";"Neufra";"31.12.2015";1847;2839;65
"GS";"08437086";"88356";"Ostrach";"31.12.2015";6751;10891;62
"GS";"08437088";"88630";"Pfullendorf, Stadt";"31.12.2015";13104;9056;145
"GS";"08437100";"88348";"Bad Saulgau, Stadt";"31.12.2015";17286;9733;178
"GS";"08437101";"72516";"Scheer, Stadt";"31.12.2015";2523;1872;135
"GS";"08437102";"72477";"Schwenningen";"31.12.2015";1579;1933;82
"GS";"08437104";"72488";"Sigmaringen, Stadt";"31.12.2015";18271;9284;197
"GS";"08437105";"72517";"Sigmaringendorf";"31.12.2015";3564;1247;286
"GS";"08437107";"72510";"Stetten am kalten Markt";"31.12.2015";4798;5647;85
"GS";"08437114";"72519";"Veringenstadt, Stadt";"31.12.2015";2149;3125;69
"GS";"08437118";"88639";"Wald";"31.12.2015";2631;4387;60
"GS";"08437123";"88605";"Sauldorf";"31.12.2015";2477;4972;50
"GS";"08437124";"88634";"Herdwangen-Schönach";"31.12.2015";3412;3652;93
"LA";"08";"X";"Land Baden-Württemberg";"31.12.2016";10951893;3567371;307
"RB";"081";"X";"Regierungsbezirk Stuttgart";"31.12.2016";4098278;1055686;388
"RB";"082";"X";"Regierungsbezirk Karlsruhe";"31.12.2016";2779314;691803;402
"RB";"083";"X";"Regierungsbezirk Freiburg";"31.12.2016";2239734;934640;240
"RB";"084";"X";"Regierungsbezirk Tübingen";"31.12.2016";1834567;885243;207
"RV";"0811";"X";"Region Stuttgart";"31.12.2016";2757930;365359;755
"RV";"0812";"X";"Region Heilbronn-Franken";"31.12.2016";897263;476476;188
"RV";"0813";"X";"Region Ostwürttemberg";"31.12.2016";443085;213851;207
"RV";"0821";"X";"Region Mittlerer Oberrhein";"31.12.2016";1033550;213733;484
"RV";"0822";"X";"Region Rhein-Neckar";"31.12.2016";1152373;244135;472
"RV";"0823";"X";"Region Nordschwarzwald";"31.12.2016";593391;233935;254
"RV";"0831";"X";"Region Südlicher Oberrhein";"31.12.2016";1074616;406148;265
"RV";"0832";"X";"Region Schwarzwald-Baar-Heuberg";"31.12.2016";486530;252912;192
"RV";"0833";"X";"Region Hochrhein-Bodensee";"31.12.2016";678588;275579;246
"RV";"0841";"X";"Region Neckar-Alb";"31.12.2016";696118;246455;282
"RV";"0842";"X";"Region Donau-Iller";"31.12.2016";513477;288676;178
"RV";"0843";"X";"Region Bodensee-Oberschwaben";"31.12.2016";624972;350112;179
"KR";"08111";"X";"Stadtkreis Stuttgart";"31.12.2016";628032;20733;3029
"KR";"08115";"X";"Landkreis Böblingen";"31.12.2016";385888;61777;625
"KR";"08116";"X";"Landkreis Esslingen";"31.12.2016";528792;64128;825
"KR";"08117";"X";"Landkreis Göppingen";"31.12.2016";254618;64234;396
"KR";"08118";"X";"Landkreis Ludwigsburg";"31.12.2016";537902;68677;783
"KR";"08119";"X";"Landkreis Rems-Murr-Kreis";"31.12.2016";422698;85808;493
"KR";"08121";"X";"Stadtkreis Heilbronn";"31.12.2016";123771;9989;1239
"KR";"08125";"X";"Landkreis Heilbronn";"31.12.2016";337571;109991;307
"KR";"08126";"X";"Landkreis Hohenlohekreis";"31.12.2016";110689;77676;143
"KR";"08127";"X";"Landkreis Schwäbisch Hall";"31.12.2016";192958;148407;130
"KR";"08128";"X";"Landkreis Main-Tauber-Kreis";"31.12.2016";132274;130413;101
